Floor_Area,Floor_Number,ofPeople_service,ofPeople_living,ofPeople_bedroom,total_window_area,Cooling,Heating,Lighting
180.04,2.00,0.06,0.06,0.03,9.49,18.82,41.54,7.84
60.61,2.00,0.06,0.06,0.06,14.98,12.82,20.45,9.73
84.35,5.00,0.07,0.07,0.03,9.42,19.22,30.56,11.34
66.62,6.00,0.29,0.29,0.29,8.75,37.12,64.80,8.07
86.27,1.00,0.03,0.03,0.03,12.75,29.37,24.02,5.85
92.00,5.00,0.04,0.04,0.04,15.35,24.20,27.17,7.05
51.53,3.00,0.24,0.24,0.24,9.69,17.62,29.49,9.55
112.06,2.00,0.05,0.05,0.05,9.45,13.33,32.53,9.63
92.49,6.00,0.05,0.05,0.02,11.19,46.25,34.11,7.04
57.85,3.00,0.08,0.08,0.04,9.15,56.80,43.78,7.03
66.84,1.00,0.16,0.16,0.16,11.95,13.25,24.08,9.10
50.64,4.00,0.05,0.05,0.03,10.46,28.56,30.36,7.36
63.14,5.00,0.17,0.17,0.17,9.50,29.53,36.55,5.75
76.55,3.00,0.04,0.04,0.04,10.82,11.38,25.94,9.58
48.68,3.00,0.27,0.27,0.14,11.02,52.34,37.00,7.08
99.47,5.00,0.15,0.15,0.15,9.54,41.03,40.35,5.82
59.74,4.00,0.14,0.14,0.07,15.77,26.93,34.54,10.83
58.59,3.00,0.15,0.15,0.08,10.64,21.14,24.17,11.52
131.37,3.00,0.04,0.04,0.04,15.67,26.00,32.82,7.46
107.90,2.00,0.03,0.03,0.01,14.78,16.98,21.13,9.21
65.12,6.00,0.13,0.13,0.06,15.18,41.66,35.71,7.14
51.49,4.00,0.06,0.06,0.03,9.88,23.24,33.99,7.28
76.53,1.00,0.11,0.11,0.11,11.39,15.10,29.19,6.46
58.57,1.00,0.04,0.04,0.04,11.53,16.19,31.46,8.24
92.99,1.00,0.03,0.03,0.03,11.81,26.16,22.23,6.17
65.88,3.00,0.02,0.02,0.02,15.86,15.22,21.36,5.93
50.95,5.00,0.05,0.05,0.05,9.88,15.07,31.06,9.16
89.13,1.00,0.26,0.26,0.13,17.00,20.59,44.48,8.94
84.08,3.00,0.21,0.21,0.11,11.77,51.76,30.30,7.13
72.62,5.00,0.19,0.19,0.19,10.79,17.35,28.72,8.71
67.29,1.00,0.20,0.20,0.10,12.35,19.75,27.84,9.13
74.08,3.00,0.08,0.08,0.08,12.99,44.07,32.12,5.89
93.75,5.00,0.04,0.04,0.02,12.97,21.88,27.19,11.98
71.03,3.00,0.07,0.07,0.07,13.72,11.36,22.51,8.57
77.88,2.00,0.20,0.20,0.10,12.15,32.55,35.55,7.06
78.46,3.00,0.07,0.07,0.03,9.23,18.34,41.40,7.69
122.82,5.00,0.16,0.16,0.16,11.60,39.77,34.51,5.92
87.18,3.00,0.05,0.05,0.02,11.13,28.54,26.38,12.58
63.14,3.00,0.07,0.07,0.03,9.16,22.23,34.75,7.87
115.89,5.00,0.03,0.03,0.03,12.81,20.15,24.16,8.11
66.50,5.00,0.19,0.19,0.19,11.29,43.41,35.39,5.92
72.27,2.00,0.07,0.07,0.04,8.90,34.57,35.71,7.34
65.25,5.00,0.27,0.27,0.14,10.36,53.90,42.97,7.70
42.42,1.00,0.05,0.05,0.02,11.07,39.17,21.47,7.23
113.05,3.00,0.15,0.15,0.07,9.82,45.34,33.88,6.91
48.49,3.00,0.31,0.31,0.15,10.32,27.83,29.64,11.59
54.61,5.00,0.22,0.22,0.11,13.08,39.93,53.22,7.10
106.55,2.00,0.11,0.11,0.05,10.98,12.70,17.50,13.04
189.63,1.00,0.08,0.08,0.08,12.79,14.06,23.61,8.94
57.15,1.00,0.05,0.05,0.05,14.00,16.85,46.20,8.90
67.59,1.00,0.06,0.06,0.03,10.20,26.98,23.11,8.12
56.41,1.00,0.05,0.05,0.05,9.54,11.34,34.14,9.85
146.76,5.00,0.05,0.05,0.02,11.46,51.62,48.17,7.11
143.42,1.00,0.08,0.08,0.04,8.80,29.34,40.48,9.05
99.67,6.00,0.10,0.10,0.05,13.60,38.48,33.65,7.15
51.74,4.00,0.14,0.14,0.07,11.07,41.59,30.62,7.41
60.85,4.00,0.21,0.21,0.11,11.77,32.94,19.29,8.87
150.88,1.00,0.14,0.14,0.07,11.07,18.59,23.61,7.63
53.80,4.00,0.36,0.36,0.18,13.08,53.49,82.65,6.94
64.33,5.00,0.05,0.05,0.03,10.51,35.70,34.09,9.99
61.67,6.00,0.13,0.13,0.13,10.03,62.07,62.38,5.86
102.23,2.00,0.23,0.23,0.12,11.62,36.36,25.79,9.17
51.85,2.00,0.05,0.05,0.05,9.43,11.62,35.31,8.67
53.25,3.00,0.09,0.09,0.04,11.95,55.22,54.12,6.91
131.35,5.00,0.05,0.05,0.02,11.62,57.53,35.77,7.06
105.01,1.00,0.23,0.23,0.12,8.88,20.31,31.25,11.67
97.49,4.00,0.07,0.07,0.04,9.13,28.79,41.16,8.25
64.33,3.00,0.05,0.05,0.03,10.71,18.98,34.04,8.36
55.99,1.00,0.08,0.08,0.08,16.13,12.25,19.11,6.92
52.53,4.00,0.02,0.02,0.02,15.60,33.56,19.25,5.87
51.13,3.00,0.04,0.04,0.04,10.64,20.30,28.31,6.11
79.34,5.00,0.11,0.11,0.05,12.85,31.48,23.37,9.83
140.49,1.00,0.14,0.14,0.07,15.98,17.57,35.54,10.13
79.34,4.00,0.03,0.03,0.03,13.48,43.13,28.06,5.87
49.36,3.00,0.04,0.04,0.04,15.56,35.23,57.69,7.18
57.85,3.00,0.04,0.04,0.02,17.23,21.49,34.02,11.66
84.54,5.00,0.07,0.07,0.03,13.01,62.46,90.18,6.95
97.85,1.00,0.28,0.28,0.14,14.49,34.85,32.78,9.77
75.71,1.00,0.04,0.04,0.02,12.17,13.01,25.94,9.55
50.58,1.00,0.06,0.06,0.03,9.69,16.54,31.75,11.02
84.38,1.00,0.02,0.02,0.02,14.38,15.74,21.53,9.28
56.41,1.00,0.39,0.39,0.20,12.64,31.77,42.62,8.39
101.39,2.00,0.17,0.17,0.17,9.34,18.00,33.87,9.68
61.47,3.00,0.07,0.07,0.03,9.59,38.99,30.20,12.15
52.43,5.00,0.22,0.22,0.11,11.36,38.26,28.85,7.31
104.09,4.00,0.06,0.06,0.03,10.35,30.91,32.42,9.35
136.64,1.00,0.06,0.06,0.06,15.18,16.40,17.16,8.79
73.13,5.00,0.13,0.13,0.07,18.35,61.63,56.00,7.07
72.77,1.00,0.06,0.06,0.06,14.60,15.86,20.61,9.48
84.46,6.00,0.22,0.22,0.11,16.30,52.94,46.87,6.97
47.32,5.00,0.35,0.35,0.17,10.01,59.01,53.11,7.13
63.13,3.00,0.10,0.10,0.05,11.81,36.97,30.93,7.27
53.03,4.00,0.02,0.02,0.02,16.05,13.67,20.07,6.81
83.85,2.00,0.03,0.03,0.01,15.22,23.85,19.08,7.44
80.01,5.00,0.08,0.08,0.04,8.69,50.80,47.69,7.21
61.47,3.00,0.31,0.31,0.15,9.90,30.55,30.22,7.58
66.50,6.00,0.35,0.35,0.17,12.88,59.69,62.70,6.83
92.77,1.00,0.34,0.34,0.17,9.16,43.10,28.87,10.22
52.44,2.00,0.30,0.30,0.30,8.74,21.47,33.02,6.08
180.83,4.00,0.08,0.08,0.04,16.55,43.75,42.24,6.92
155.43,2.00,0.23,0.23,0.11,8.73,29.82,32.57,11.55
119.19,2.00,0.05,0.05,0.02,15.98,30.93,43.21,7.32
61.05,4.00,0.18,0.18,0.09,9.87,36.22,33.79,7.08
67.29,6.00,0.32,0.32,0.16,9.62,73.08,42.46,8.32
112.06,5.00,0.04,0.04,0.04,10.48,40.18,31.41,5.86
84.12,3.00,0.21,0.21,0.10,9.98,24.47,39.89,8.22
65.09,5.00,0.05,0.05,0.03,10.57,25.09,35.75,7.45
139.23,4.00,0.18,0.18,0.18,8.65,28.70,35.61,7.18
77.62,3.00,0.13,0.13,0.13,10.11,13.03,30.57,9.22
97.61,4.00,0.02,0.02,0.02,13.61,22.83,21.51,5.92
60.00,6.00,0.02,0.02,0.02,13.33,36.57,27.82,5.81
84.38,1.00,0.11,0.11,0.11,13.79,21.31,14.64,7.33
107.48,5.00,0.28,0.28,0.14,10.35,38.61,26.98,9.65
61.70,3.00,0.22,0.22,0.11,10.00,29.64,38.45,12.81
111.51,3.00,0.14,0.14,0.14,9.86,18.83,31.05,8.12
83.70,2.00,0.18,0.18,0.18,11.07,13.73,24.58,7.34
54.76,6.00,0.23,0.23,0.11,8.74,58.92,45.48,7.02
75.05,6.00,0.29,0.29,0.14,10.06,46.40,36.46,7.02
71.73,2.00,0.04,0.04,0.04,10.61,19.62,28.82,6.18
92.99,1.00,0.19,0.19,0.19,11.07,13.27,29.20,7.15
81.07,5.00,0.07,0.07,0.03,9.59,42.10,35.03,7.22
164.82,6.00,0.04,0.04,0.02,12.51,36.98,38.38,7.04
77.57,5.00,0.29,0.29,0.29,8.94,57.39,36.64,5.74
145.16,1.00,0.35,0.35,0.18,10.04,31.22,33.89,7.31
72.24,1.00,0.06,0.06,0.03,14.33,20.96,35.51,8.37
63.62,1.00,0.15,0.15,0.15,9.63,13.85,32.69,6.61
49.23,3.00,0.08,0.08,0.04,8.84,19.33,40.92,12.84
131.98,5.00,0.23,0.23,0.12,11.18,35.43,22.67,7.47
86.22,5.00,0.33,0.33,0.16,9.72,36.55,32.30,9.32
159.81,2.00,0.08,0.08,0.04,15.60,25.23,19.08,6.95
77.71,4.00,0.07,0.07,0.03,10.37,50.92,42.14,7.27
82.47,5.00,0.08,0.08,0.04,8.87,59.30,43.83,7.22
76.46,2.00,0.38,0.38,0.19,8.84,24.77,26.10,11.35
158.24,6.00,0.45,0.45,0.23,11.36,87.27,82.14,6.84
106.55,2.00,0.30,0.30,0.15,14.07,37.25,37.94,7.36
53.79,4.00,0.33,0.33,0.16,9.54,19.92,32.88,11.97
71.92,2.00,0.04,0.04,0.04,11.10,27.61,20.40,6.06
130.62,4.00,0.06,0.06,0.03,9.90,33.80,34.79,7.15
105.15,1.00,0.12,0.12,0.12,15.33,20.83,41.91,8.86
75.03,5.00,0.12,0.12,0.12,13.72,22.90,18.74,6.95
58.03,3.00,0.06,0.06,0.03,10.25,16.95,37.78,7.35
65.87,3.00,0.03,0.03,0.03,12.99,19.39,19.22,7.76
51.29,1.00,0.03,0.03,0.02,13.60,22.22,25.31,7.52
75.60,3.00,0.07,0.07,0.03,9.72,22.05,37.12,7.44
70.22,3.00,0.03,0.03,0.01,14.60,33.82,28.54,7.21
97.98,4.00,0.16,0.16,0.08,10.61,25.46,33.30,7.52
49.81,5.00,0.04,0.04,0.04,11.07,51.64,35.08,5.83
77.57,4.00,0.11,0.11,0.05,11.00,21.16,22.42,8.64
49.80,4.00,0.16,0.16,0.16,16.85,23.72,39.82,8.98
65.45,2.00,0.15,0.15,0.15,12.25,18.17,21.53,8.83
52.85,2.00,0.05,0.05,0.05,9.88,29.77,22.42,7.23
53.79,3.00,0.07,0.07,0.03,9.47,24.87,31.59,10.55
112.06,4.00,0.39,0.39,0.20,8.67,39.27,37.38,7.34
94.36,1.00,0.07,0.07,0.04,13.53,16.32,48.67,10.49
65.25,5.00,0.39,0.39,0.20,9.11,43.45,35.34,8.31
48.49,3.00,0.24,0.24,0.24,9.86,30.56,21.91,7.03
75.31,5.00,0.16,0.16,0.16,11.90,14.49,23.93,8.96
65.93,4.00,0.36,0.36,0.18,8.98,29.24,33.59,7.47
64.46,3.00,0.16,0.16,0.16,9.00,18.57,33.95,6.45
69.99,5.00,0.08,0.08,0.04,8.87,69.57,68.75,6.87
99.47,4.00,0.11,0.11,0.11,13.79,19.31,21.83,5.93
75.45,3.00,0.03,0.03,0.03,12.97,20.29,25.90,5.93
61.67,4.00,0.27,0.27,0.14,14.69,45.88,42.69,7.01
125.41,4.00,0.17,0.17,0.17,13.66,53.64,94.03,5.82
87.95,2.00,0.19,0.19,0.09,9.86,34.48,29.31,7.64
49.86,1.00,0.40,0.40,0.20,9.24,38.71,36.96,7.12
76.53,2.00,0.38,0.38,0.19,8.81,21.66,35.72,11.77
149.82,5.00,0.23,0.23,0.23,9.89,35.42,23.78,5.88
43.02,2.00,0.24,0.24,0.12,8.67,31.92,39.86,8.71
123.16,6.00,0.06,0.06,0.03,9.97,61.79,51.68,7.19
53.40,1.00,0.08,0.08,0.04,12.14,10.27,17.85,12.71
61.50,3.00,0.12,0.12,0.06,12.21,16.76,27.97,12.56
89.55,1.00,0.21,0.21,0.11,16.79,31.72,32.41,7.28
100.48,1.00,0.08,0.08,0.04,8.65,24.96,36.47,12.90
124.84,2.00,0.24,0.24,0.12,15.77,39.29,43.93,7.22
93.27,5.00,0.05,0.05,0.03,10.35,53.20,41.23,7.39
98.89,3.00,0.32,0.32,0.16,9.82,31.56,26.61,7.28
107.58,5.00,0.19,0.19,0.19,10.82,30.92,24.53,6.24
102.66,4.00,0.04,0.04,0.04,10.12,18.93,28.84,7.45
107.84,2.00,0.22,0.22,0.11,11.57,30.08,26.07,7.85
52.43,5.00,0.03,0.03,0.03,12.03,25.26,34.62,9.04
52.60,2.00,0.23,0.23,0.12,8.65,31.71,30.99,7.38
83.27,6.00,0.14,0.14,0.14,9.58,57.68,44.56,5.84
133.26,2.00,0.31,0.31,0.15,9.98,29.81,28.83,8.42
50.40,1.00,0.16,0.16,0.08,13.39,19.31,23.92,8.87
89.08,5.00,0.07,0.07,0.04,15.70,65.59,64.27,6.86
76.42,5.00,0.06,0.06,0.06,8.65,50.82,52.76,5.93
52.57,3.00,0.07,0.07,0.03,9.59,17.52,29.82,8.31
105.15,4.00,0.06,0.06,0.03,10.06,25.76,34.18,11.53
95.14,4.00,0.10,0.10,0.10,15.47,15.47,22.61,6.09
76.44,1.00,0.03,0.03,0.03,11.60,13.24,27.70,7.26
86.13,4.00,0.03,0.03,0.03,17.30,42.24,35.17,5.84
67.02,5.00,0.06,0.06,0.03,10.33,41.73,38.78,7.21
59.26,2.00,0.08,0.08,0.04,8.82,27.85,30.64,9.55
54.80,4.00,0.07,0.07,0.03,9.39,19.94,30.87,9.64
51.13,5.00,0.12,0.12,0.12,13.35,19.65,17.46,5.96
55.30,3.00,0.06,0.06,0.03,9.70,17.35,37.79,10.36
51.37,3.00,0.26,0.26,0.26,9.34,40.40,27.37,5.95
71.63,2.00,0.12,0.12,0.06,11.95,47.73,27.89,7.05
95.65,3.00,0.04,0.04,0.02,12.17,32.12,33.72,7.06
66.57,1.00,0.09,0.09,0.04,11.61,14.91,20.21,10.70
87.85,3.00,0.16,0.16,0.08,9.16,35.90,26.60,10.74
65.45,4.00,0.39,0.39,0.19,9.30,43.91,29.09,10.80
143.42,5.00,0.14,0.14,0.07,15.89,32.81,35.44,7.94
108.65,5.00,0.05,0.05,0.05,9.69,19.77,32.81,8.60
53.25,4.00,0.24,0.24,0.24,9.58,41.23,29.95,5.89
66.62,5.00,0.08,0.08,0.04,8.80,37.74,44.18,7.07
56.60,6.00,0.07,0.07,0.03,9.82,45.61,41.96,7.05
82.40,4.00,0.18,0.18,0.09,12.81,19.16,21.38,8.30
76.88,4.00,0.03,0.03,0.02,13.61,29.75,28.98,7.20
105.01,2.00,0.13,0.13,0.06,11.60,22.42,28.85,9.27
89.33,6.00,0.27,0.27,0.27,9.82,45.73,55.90,5.86
184.48,1.00,0.07,0.07,0.03,9.38,29.25,31.30,7.30
104.09,4.00,0.15,0.15,0.07,17.27,46.75,44.25,7.39
62.50,3.00,0.05,0.05,0.03,10.56,40.81,40.06,7.13
52.53,4.00,0.13,0.13,0.13,12.97,22.58,24.74,5.90
75.45,4.00,0.03,0.03,0.02,13.68,25.22,24.23,6.97
61.49,1.00,0.26,0.26,0.13,10.64,26.20,31.59,8.91
87.18,1.00,0.15,0.15,0.15,12.25,14.07,24.31,8.86
107.48,2.00,0.11,0.11,0.05,10.48,40.22,37.57,7.02
73.97,3.00,0.12,0.12,0.12,8.75,11.61,19.14,10.10
172.66,4.00,0.05,0.05,0.02,11.35,29.84,30.15,8.69
137.93,5.00,0.25,0.25,0.13,10.79,23.58,28.05,11.75
60.88,6.00,0.24,0.24,0.24,9.82,45.89,47.26,5.93
64.73,1.00,0.04,0.04,0.02,12.72,35.45,21.95,7.03
150.16,5.00,0.29,0.29,0.14,10.06,29.22,31.91,7.26
95.35,2.00,0.05,0.05,0.03,10.82,38.70,34.67,7.12
62.83,3.00,0.06,0.06,0.03,9.75,35.76,26.76,7.32
55.30,5.00,0.09,0.09,0.09,12.12,23.13,27.50,7.74
52.23,4.00,0.13,0.13,0.13,9.88,23.39,28.42,8.41
69.99,3.00,0.20,0.20,0.10,12.17,18.97,26.81,8.91
95.65,2.00,0.09,0.09,0.05,14.44,37.88,19.10,7.39
88.77,4.00,0.10,0.10,0.05,11.18,25.75,49.19,9.34
150.88,6.00,0.16,0.16,0.08,10.98,48.82,38.03,7.04
63.94,3.00,0.07,0.07,0.03,10.37,33.56,32.28,7.47
65.12,3.00,0.23,0.23,0.11,16.08,20.84,38.52,9.47
61.67,3.00,0.08,0.08,0.04,15.31,25.26,18.99,6.97
96.92,2.00,0.04,0.04,0.02,17.23,26.90,39.67,11.09
79.34,5.00,0.03,0.03,0.03,11.99,32.77,34.31,5.91
73.37,2.00,0.12,0.12,0.12,13.72,23.97,22.46,8.00
123.16,1.00,0.16,0.16,0.08,10.88,26.29,26.81,7.68
76.27,4.00,0.04,0.04,0.02,12.51,24.83,21.06,10.98
103.32,1.00,0.07,0.07,0.03,9.63,34.99,31.75,7.10
83.85,4.00,0.15,0.15,0.15,9.58,19.91,31.85,8.43
88.77,6.00,0.17,0.17,0.17,8.94,54.35,59.98,5.89
76.88,2.00,0.34,0.34,0.17,9.16,41.30,30.32,9.98
79.22,3.00,0.05,0.05,0.03,10.79,41.95,37.87,7.31
